"","Position","Competitor","Country","Points","Gap","Year","YearCode"
"1",NA,"Adam Małysz","polska",40,-1531,"94/95",1
"2",56,"Wojciech Skupień","polska",30,-1541,"94/95",1
"3",7,"Adam Małysz","polska",751,-665,"95/96",2
"4",48,"Wojciech Skupień","polska",75,-1341,"95/96",2
"5",NA,"Marek Gwóźdź","polska",6,-1410,"95/96",2
"6",10,"Adam Małysz","polska",612,-790,"96/97",3
"7",30,"Robert Mateja","polska",154,-1248,"96/97",3
"8",72,"Wojciech Skupień","polska",16,-1386,"96/97",3
"9",34,"Robert Mateja","polska",165,-1088,"97/98",4
"10",57,"Adam Małysz","polska",43,-1210,"97/98",4
"11",68,"Wojciech Skupień","polska",23,-1230,"97/98",4
"12",NA,"Krystian Długopolski","polska",3,-1250,"97/98",4
"13",39,"Robert Mateja","polska",100,-1653,"98/99",5
"14",46,"Adam Małysz","polska",58,-1695,"98/99",5
"15",78,"Wojciech Skupień","polska",10,-1743,"98/99",5
"16",NA,"Łukasz Kruczek","polska",6,-1747,"98/99",5
"17",28,"Adam Małysz","polska",214,-1619,"99/00",6
"18",38,"Wojciech Skupień","polska",86,-1747,"99/00",6
"19",44,"Robert Mateja","polska",52,-1781,"99/00",6
"20",63,"Łukasz Kruczek","polska",18,-1815,"99/00",6
"21",1,"Adam Małysz","polska",1531,NA,"00/01",7
"22",NA,"Robert Mateja","polska",133,-1398,"00/01",7
"23",NA,"Wojciech Skupień","polska",89,-1442,"00/01",7
"24",NA,"Łukasz Kruczek","polska",3,-1528,"00/01",7
"25",1,"Adam Małysz","polska",1475,NA,"01/02",8
"26",49,"Robert Mateja","polska",50,-1425,"01/02",8
"27",53,"Tomasz Pochwała","polska",38,-1437,"01/02",8
"28",55,"Marcin Bachleda","polska",26,-1449,"01/02",8
"29",73,"Tomisław Tajner","polska",7,-1468,"01/02",8
"30",NA,"Łukasz Kruczek","polska",5,-1470,"01/02",8
"31",NA,"Wojciech Skupień","polska",4,-1471,"01/02",8
