"","name","country","birthday","starting_number","speed","distance","distance_points","mark_A","mark_B","mark_C","mark_D","mark_E","style_points","gate","gate_points","wind_speed","wind_points","total_points","rank","series_number","total_points_all_jumps","competition_code","hill_code","year","competition_number","k","hs","full_name"
"1","GRANERUD Halvor","NOR","29 MAY 1996","1","89.4","139.5","86.1","19.0","19.5","19.0","19.0","18.5","57.0","10","4.8","-0.57","9.2","157.1","1.","1","313.4","1","bis","2022","0",125,142,"Bischofshofen"
"2","LANISEK Anze","SLO","20 APR 1996","3","89.9","140.5","87.9","19.0","18.5","19.0","19.0","19.0","57.0","10","4.8","-0.39","6.3","156.0","2.","1","305.5","1","bis","2022","0",125,142,"Bischofshofen"
"3","LANISEK Anze","SLO","20 APR 1996","3","90.2","139.0","85.2","19.5","19.5","19.0","19.0","19.5","58.0","10","","-0.39","6.3","149.5","3.","2","305.5","1","bis","2022","0",125,142,"Bischofshofen"
"4","KUBACKI Dawid","POL","12 MAR 1990","2","90.0","135.5","78.9","19.0","19.5","18.5","19.0","19.0","57.0","10","4.8","-0.71","11.5","152.2","3.","1","303.7","1","bis","2022","0",125,142,"Bischofshofen"
"5","KUBACKI Dawid","POL","12 MAR 1990","2","90.0","140.0","87.0","19.0","19.5","19.0","19.0","18.5","57.0","10","","-0.46","7.5","151.5","2.","2","303.7","1","bis","2022","0",125,142,"Bischofshofen"
"6","HAYBOECK Michael","AUT","5 MAR 1991","5","90.1","138.5","84.3","19.0","19.0","19.0","19.0","19.0","57.0","11","2.4","-0.50","8.1","151.8","5.","1","297.6","1","bis","2022","0",125,142,"Bischofshofen"
"7","HAYBOECK Michael","AUT","5 MAR 1991","5","89.7","137.0","81.6","19.0","18.5","18.5","18.5","18.5","55.5","10","","-0.54","8.7","145.8","5.","2","297.6","1","bis","2022","0",125,142,"Bischofshofen"
"8","HOERL Jan","AUT","16 OCT 1998","30","89.8","135.5","78.9","18.5","19.0","18.5","18.5","19.0","56.0","12","","-0.58","9.4","144.3","7.","1","292.1","1","bis","2022","0",125,142,"Bischofshofen"
"9","HOERL Jan","AUT","16 OCT 1998","30","89.2","140.5","87.9","19.0","19.0","19.0","19.0","18.5","57.0","10","","-0.18","2.9","147.8","4.","2","292.1","1","bis","2022","0",125,142,"Bischofshofen"
"10","STOCH Kamil","POL","25 MAY 1987","4","89.6","138.0","83.4","19.5","19.5","19.0","19.5","19.0","58.0","11","2.4","-0.31","5.0","148.8","6.","1","289.9","1","bis","2022","0",125,142,"Bischofshofen"
"11","STOCH Kamil","POL","25 MAY 1987","4","89.5","134.5","77.1","19.0","18.5","19.0","19.0","19.0","57.0","10","","-0.43","7.0","141.1","10.","2","289.9","1","bis","2022","0",125,142,"Bischofshofen"
"12","PREVC Peter","SLO","20 SEP 1992","7","90.5","134.5","77.1","19.0","19.0","18.5","19.0","19.0","57.0","12","","-0.61","9.9","144.0","8.","1","288.6","1","bis","2022","0",125,142,"Bischofshofen"
"13","PREVC Peter","SLO","20 SEP 1992","7","89.7","139.5","86.1","19.0","19.0","19.0","19.0","19.0","57.0","10","","-0.09","1.5","144.6","6.","2","288.6","1","bis","2022","0",125,142,"Bischofshofen"
"14","FETTNER Manuel","AUT","17 JUN 1985","14","90.1","134.5","77.1","18.5","18.5","18.5","18.5","18.0","55.5","12","","-0.70","11.3","143.9","9.","1","285.6","1","bis","2022","0",125,142,"Bischofshofen"
"15","FETTNER Manuel","AUT","17 JUN 1985","14","89.4","139.0","85.2","19.0","18.5","18.5","18.5","18.0","55.5","10","","-0.06","1.0","141.7","9.","2","285.6","1","bis","2022","0",125,142,"Bischofshofen"
"16","ZAJC Timi","SLO","26 APR 2000","12","90.1","135.5","78.9","18.5","18.0","18.5","18.5","18.5","55.5","12","","-0.55","8.9","143.3","10.","1","285.3","1","bis","2022","0",125,142,"Bischofshofen"
"17","ZAJC Timi","SLO","26 APR 2000","12","89.2","137.0","81.6","19.0","18.5","19.0","18.5","19.0","56.5","10","","-0.24","3.9","142.0","8.","2","285.3","1","bis","2022","0",125,142,"Bischofshofen"
"18","AIGNER Clemens","AUT","2 FEB 1993","9","90.2","136.5","80.7","18.5","18.5","18.0","18.5","18.5","55.5","12","","-0.22","3.6","139.8","15.","1","282.5","1","bis","2022","0",125,142,"Bischofshofen"
"19","AIGNER Clemens","AUT","2 FEB 1993","9","89.8","139.5","86.1","19.0","19.5","19.0","18.5","19.5","57.5","10","","0.08","-0.9","142.7","7.","2","282.5","1","bis","2022","0",125,142,"Bischofshofen"
"20","ZYLA Piotr","POL","16 JAN 1987","11","90.5","133.5","75.3","18.5","18.0","18.0","18.5","18.5","55.0","12","","-0.75","12.2","142.5","12.","1","282.5","1","bis","2022","0",125,142,"Bischofshofen"
