Position,Competitor,Country,Points,Gap
1,Ryoyu Kobayashi,japonia,2085,
2,Stefan Kraft,austria,1349,-736
3,Kamil Stoch,polska,1288,-797
4,Piotr Żyła,polska,1131,-954
5,Dawid Kubacki,polska,988,-1097
6,Robert Johansson,norwegia,974,-1111
7,Markus Eisenbichler,niemcy,937,-1148
8,Johann Andre Forfang,norwegia,892,-1193
9,Timi Zajc,slowenia,833,-1252
10,Karl Geiger,niemcy,765,-1320
11,Stephan Leyhe,niemcy,636,-1449
12,Evgenii Klimov,rosja,592,-1493
13,Domen Prevc,slowenia,542,-1543
14,Roman Koudelka,czechy,523,-1562
15,Halvor Egner Granerud,norwegia,422,-1663
16,Daniel Huber,austria,413,-1672
17,Killian Peier,szwajcaria,399,-1686
18,Andreas Wellinger,niemcy,371,-1714
19,Andreas Stjernen,norwegia,335,-1750
,Junshiro Kobayashi,japonia,335,-1750
21,Richard Freitag,niemcy,331,-1754
22,Jakub Wolny,polska,328,-1757
23,Yukiya Sato,japonia,316,-1769
24,Simon Ammann,szwajcaria,313,-1772
25,Antti Aalto,finlandia,288,-1797
26,Philipp Aschenwald,austria,247,-1838
27,Michael Hayboeck,austria,228,-1857
28,Anze Semenic,slowenia,203,-1882
29,Peter Prevc,slowenia,179,-1906
30,Anze Lanisek,slowenia,177,-1908
31,Manuel Fettner,austria,166,-1919
32,Daiki Ito,japonia,145,-1940
33,Vladimir Zografski,bulgaria,134,-1951
34,David Siegel,niemcy,131,-1954
35,Daniel Andre Tande,norwegia,106,-1979
36,Anders Fannemel,norwegia,103,-1982
37,Noriaki Kasai,japonia,88,-1997
38,Constantin Schmid,niemcy,86,-1999
39,Naoki Nakamura,japonia,72,-2013
40,Stefan Hula,polska,69,-2016
41,Robin Pedersen,norwegia,58,-2027
42,Viktor Polasek,czechy,54,-2031
43,Jan Hoerl,austria,53,-2032
44,Marius Lindvik,norwegia,49,-2036
45,Clemens Aigner,austria,46,-2039
46,Jernej Damjan,slowenia,40,-2045
47,Maciej Kot,polska,25,-2060
48,Gregor Schlierenzauer,austria,23,-2062
49,Martin Hamann,niemcy,19,-2066
,Dmitriy Vassiliev,rosja,19,-2066
51,Zak Mogel,slowenia,18,-2067
,Mackenzie Boyd-Clowes,kanada,18,-2067
,Kevin Bickner,usa,18,-2067
54,Lukas Hlava,czechy,17,-2068
,Ziga Jelar,slowenia,17,-2068
56,Keiichi Sato,japonia,13,-2072
57,Severin Freund,niemcy,12,-2073
,Artti Aigro,estonia,12,-2073
59,Pius Paschke,niemcy,10,-2075
,Jurij Tepes,slowenia,10,-2075
61,Cestmir Kozisek,czechy,9,-2076
,Tilen Bartol,slowenia,9,-2076
,Taku Takeuchi,japonia,9,-2076
64,Bor Pavlovcic,slowenia,8,-2077
65,Alex Insam,wlochy,7,-2078
66,Roman Trofimov,rosja,5,-2080
67,Thomas Aasen Markeng,norwegia,4,-2081
,Gregor Deschwanden,szwajcaria,4,-2081
,Paweł Wąsek,polska,4,-2081
,Eetu Nousiainen,finlandia,4,-2081
71,Ulrich Wohlgenannt,austria,3,-2082
,Tomas Vancura,czechy,3,-2082
73,Andreas Alamommo,finlandia,2,-2083
,Jarkko Maatta,finlandia,2,-2083
,Moritz Baer,niemcy,2,-2083
,Markus Schiffner,austria,2,-2083
77,Mikhail Nazarov,rosja,1,-2084
,Andreas Schuler,szwajcaria,1,-2084
